# wavelen(nm)  Transmission(atmos) - MC 4/2010
284.941  0.0000000
284.981  0.0000001
285.022  0.0000001
285.063  0.0000001
285.103  0.0000002
285.144  0.0000002
285.185  0.0000002
285.225  0.0000002
285.266  0.0000003
285.307  0.0000003
285.347  0.0000003
285.388  0.0000003
285.429  0.0000004
285.470  0.0000004
285.510  0.0000004
285.551  0.0000004
285.592  0.0000004
285.633  0.0000004
285.673  0.0000004
285.714  0.0000004
285.755  0.0000004
285.796  0.0000004
285.837  0.0000004
285.878  0.0000005
285.919  0.0000005
285.959  0.0000005
286.000  0.0000005
286.041  0.0000006
286.082  0.0000006
286.123  0.0000006
286.164  0.0000007
286.205  0.0000007
286.246  0.0000008
286.287  0.0000008
286.328  0.0000009
286.369  0.0000009
286.410  0.0000010
286.451  0.0000011
286.492  0.0000011
286.533  0.0000012
286.574  0.0000013
286.615  0.0000014
286.656  0.0000015
286.697  0.0000016
286.738  0.0000017
286.779  0.0000018
286.821  0.0000018
286.862  0.0000019
286.903  0.0000020
286.944  0.0000022
286.985  0.0000022
287.026  0.0000023
287.068  0.0000023
287.109  0.0000023
287.150  0.0000024
287.191  0.0000025
287.233  0.0000027
287.274  0.0000028
287.315  0.0000029
287.356  0.0000030
287.398  0.0000033
287.439  0.0000037
287.480  0.0000041
287.522  0.0000045
287.563  0.0000048
287.604  0.0000050
287.646  0.0000056
287.687  0.0000064
287.728  0.0000071
287.770  0.0000075
287.811  0.0000080
287.853  0.0000091
287.894  0.0000097
287.935  0.0000105
287.977  0.0000114
288.018  0.0000122
288.060  0.0000124
288.101  0.0000122
288.143  0.0000134
288.184  0.0000140
288.226  0.0000152
288.268  0.0000162
288.309  0.0000168
288.351  0.0000172
288.392  0.0000170
288.434  0.0000183
288.475  0.0000189
288.517  0.0000194
288.559  0.0000200
288.600  0.0000203
288.642  0.0000206
288.684  0.0000221
288.725  0.0000236
288.767  0.0000246
288.809  0.0000251
288.850  0.0000256
288.892  0.0000275
288.934  0.0000293
288.976  0.0000313
289.017  0.0000327
289.059  0.0000336
289.101  0.0000349
289.143  0.0000361
289.185  0.0000378
289.226  0.0000396
289.268  0.0000412
289.310  0.0000425
289.352  0.0000440
289.394  0.0000469
289.436  0.0000474
289.478  0.0000519
289.519  0.0000555
289.561  0.0000579
289.603  0.0000611
289.645  0.0000658
289.687  0.0000701
289.729  0.0000719
289.771  0.0000748
289.813  0.0000766
289.855  0.0000772
289.897  0.0000819
289.939  0.0000825
289.981  0.0000863
290.023  0.0000886
290.065  0.0000901
290.107  0.0000926
290.149  0.0000974
290.192  0.0000996
290.234  0.0001088
290.276  0.0001122
290.318  0.0001131
290.360  0.0001152
290.402  0.0001194
290.444  0.0001232
290.487  0.0001275
290.529  0.0001314
290.571  0.0001336
290.613  0.0001363
290.655  0.0001414
290.698  0.0001474
290.740  0.0001545
290.782  0.0001605
290.824  0.0001644
290.867  0.0001705
290.909  0.0001783
290.951  0.0001850
290.994  0.0001939
291.036  0.0002034
291.078  0.0002130
291.121  0.0002223
291.163  0.0002331
291.206  0.0002465
291.248  0.0002610
291.290  0.0002740
291.333  0.0002811
291.375  0.0002962
291.418  0.0003141
291.460  0.0003335
291.503  0.0003542
291.545  0.0003718
291.588  0.0003885
291.630  0.0004092
291.673  0.0004368
291.715  0.0004678
291.758  0.0004954
291.800  0.0005133
291.843  0.0005197
291.886  0.0005324
291.928  0.0005535
291.971  0.0005774
292.013  0.0005982
292.056  0.0006135
292.099  0.0006269
292.141  0.0006451
292.184  0.0006735
292.227  0.0007028
292.269  0.0007281
292.312  0.0007459
292.355  0.0007575
292.398  0.0007692
292.440  0.0007865
292.483  0.0007902
292.526  0.0008077
292.569  0.0008173
292.612  0.0008224
292.654  0.0008352
292.697  0.0008512
292.740  0.0008751
292.783  0.0008998
292.826  0.0009171
292.869  0.0009419
292.912  0.0009809
292.954  0.0010299
292.997  0.0010799
293.040  0.0011232
293.083  0.0011638
293.126  0.0012006
293.169  0.0012474
293.212  0.0013108
293.255  0.0013804
293.298  0.0014286
293.341  0.0014713
293.384  0.0015229
293.427  0.0015897
293.470  0.0016715
293.513  0.0017586
293.556  0.0018332
293.600  0.0018871
293.643  0.0019676
293.686  0.0020447
293.729  0.0021328
293.772  0.0022120
293.815  0.0022784
293.858  0.0023331
293.902  0.0023819
293.945  0.0024469
293.988  0.0025000
294.031  0.0025203
294.074  0.0025382
294.118  0.0025689
294.161  0.0026099
294.204  0.0026507
294.247  0.0026939
294.291  0.0028002
294.334  0.0028521
294.377  0.0029331
294.421  0.0030169
294.464  0.0030860
294.507  0.0031395
294.551  0.0031864
294.594  0.0032505
294.638  0.0033245
294.681  0.0034541
294.724  0.0035576
294.768  0.0036576
294.811  0.0037510
294.855  0.0038241
294.898  0.0039241
294.942  0.0040477
294.985  0.0041987
295.029  0.0042950
295.072  0.0044318
295.116  0.0045787
295.159  0.0047260
295.203  0.0049302
295.247  0.0051711
295.290  0.0053664
295.334  0.0054613
295.377  0.0056441
295.421  0.0058657
295.465  0.0061162
295.508  0.0063576
295.552  0.0065095
295.596  0.0066585
295.639  0.0067861
295.683  0.0068529
295.727  0.0069468
295.771  0.0070566
295.814  0.0071414
295.858  0.0072436
295.902  0.0074521
295.946  0.0076502
295.989  0.0079090
296.033  0.0081078
296.077  0.0082906
296.121  0.0085548
296.165  0.0089284
296.209  0.0093253
296.252  0.0096287
296.296  0.0099063
296.340  0.0100623
296.384  0.0103166
296.428  0.0103591
296.472  0.0104560
296.516  0.0105961
296.560  0.0107576
296.604  0.0109243
296.648  0.0107259
296.692  0.0109709
296.736  0.0111168
296.780  0.0113103
296.824  0.0112603
296.868  0.0113143
296.912  0.0115366
296.956  0.0118306
297.000  0.0124629
297.044  0.0128456
297.089  0.0132144
297.133  0.0135581
297.177  0.0138880
297.221  0.0142418
297.265  0.0146161
297.309  0.0149306
297.354  0.0151293
297.398  0.0153979
297.442  0.0157423
297.486  0.0162625
297.530  0.0167992
297.575  0.0171878
297.619  0.0175310
297.663  0.0178262
297.708  0.0181608
297.752  0.0188194
297.796  0.0192083
297.841  0.0195745
297.885  0.0197898
297.929  0.0202082
297.974  0.0206984
298.018  0.0210697
298.063  0.0213805
298.107  0.0217637
298.151  0.0221157
298.196  0.0224878
298.240  0.0225501
298.285  0.0228178
298.329  0.0231721
298.374  0.0235831
298.418  0.0239797
298.463  0.0244777
298.507  0.0249054
298.552  0.0250074
298.597  0.0250348
298.641  0.0256822
298.686  0.0257256
298.730  0.0256337
298.775  0.0264664
298.820  0.0268169
298.864  0.0268500
298.909  0.0271818
298.954  0.0279834
298.998  0.0288439
299.043  0.0289222
299.088  0.0291858
299.133  0.0295929
299.177  0.0310166
299.222  0.0318989
299.267  0.0326225
299.312  0.0330682
299.356  0.0334836
299.401  0.0344379
299.446  0.0354073
299.491  0.0363391
299.536  0.0368979
299.581  0.0369886
299.625  0.0380489
299.670  0.0389263
299.715  0.0395918
299.760  0.0401518
299.805  0.0405861
299.850  0.0409460
299.895  0.0411645
299.940  0.0415919
299.985  0.0414802
300.030  0.0422777
300.075  0.0424848
300.120  0.0430071
300.165  0.0432680
300.210  0.0437714
300.255  0.0446877
300.300  0.0452725
300.345  0.0458295
300.391  0.0460903
300.436  0.0466797
300.481  0.0471725
300.526  0.0475931
300.571  0.0478922
300.616  0.0483589
300.661  0.0490343
300.707  0.0499179
300.752  0.0508543
300.797  0.0515126
300.842  0.0524538
300.888  0.0534938
300.933  0.0544260
300.978  0.0557187
301.023  0.0568590
301.069  0.0577027
301.114  0.0585244
301.159  0.0598667
301.205  0.0613423
301.250  0.0620604
301.296  0.0628999
301.341  0.0635989
301.386  0.0640927
301.432  0.0650123
301.477  0.0658817
301.523  0.0667869
301.568  0.0673568
301.614  0.0676920
301.659  0.0680075
301.705  0.0683801
301.750  0.0688082
301.796  0.0691134
301.841  0.0692783
301.887  0.0698179
301.932  0.0701904
301.978  0.0705051
302.024  0.0709872
302.069  0.0716442
302.115  0.0722893
302.160  0.0729434
302.206  0.0738452
302.252  0.0748057
302.297  0.0752130
302.343  0.0759344
302.389  0.0767600
302.435  0.0781990
302.480  0.0792280
302.526  0.0804188
302.572  0.0817047
302.618  0.0827520
302.663  0.0839125
302.709  0.0852636
302.755  0.0866923
302.801  0.0881849
302.847  0.0890629
302.893  0.0899492
302.938  0.0911978
302.984  0.0928792
303.030  0.0943859
303.076  0.0957273
303.122  0.0966577
303.168  0.0974387
303.214  0.0985294
303.260  0.0999673
303.306  0.1009208
303.352  0.1008372
303.398  0.1011788
303.444  0.1030039
303.490  0.1029901
303.536  0.1039087
303.582  0.1042580
303.628  0.1050837
303.674  0.1054737
303.721  0.1064410
303.767  0.1070059
303.813  0.1070753
303.859  0.1068885
303.905  0.1066095
303.951  0.1068591
303.998  0.1071071
304.044  0.1074419
304.090  0.1081697
304.136  0.1086824
304.182  0.1100984
304.229  0.1117401
304.275  0.1129010
304.321  0.1138825
304.368  0.1150565
304.414  0.1161405
304.460  0.1171414
304.507  0.1181120
304.553  0.1190195
304.599  0.1203984
304.646  0.1214009
304.692  0.1244893
304.739  0.1255969
304.785  0.1276495
304.832  0.1285232
304.878  0.1296918
304.925  0.1316930
304.971  0.1339043
305.018  0.1358118
305.064  0.1371942
305.111  0.1384258
305.157  0.1399239
305.204  0.1416287
305.250  0.1433484
305.297  0.1442153
305.344  0.1447863
305.390  0.1459036
305.437  0.1468586
305.483  0.1482025
305.530  0.1483656
305.577  0.1484455
305.623  0.1486727
305.670  0.1490722
305.717  0.1490153
305.764  0.1493321
305.810  0.1500002
305.857  0.1506582
305.904  0.1519728
305.951  0.1526156
305.998  0.1531779
306.044  0.1542958
306.091  0.1548373
306.138  0.1548128
306.185  0.1547496
306.232  0.1543137
306.279  0.1545908
306.326  0.1552064
306.373  0.1555273
306.419  0.1565059
306.466  0.1579744
306.513  0.1598712
306.560  0.1616608
306.607  0.1630375
306.654  0.1648736
306.701  0.1663681
306.748  0.1673745
306.796  0.1687376
306.843  0.1695319
306.890  0.1707095
306.937  0.1733665
306.984  0.1754819
307.031  0.1776104
307.078  0.1792257
307.125  0.1814300
307.172  0.1833730
307.220  0.1855720
307.267  0.1873897
307.314  0.1887313
307.361  0.1900285
307.409  0.1913758
307.456  0.1930831
307.503  0.1950070
307.550  0.1962869
307.598  0.1970415
307.645  0.1974194
307.692  0.1987242
307.740  0.1997700
307.787  0.1998773
307.834  0.1990046
307.882  0.1992114
307.929  0.1987550
307.977  0.1986183
308.024  0.1987556
308.071  0.1991797
308.119  0.1995671
308.166  0.2005432
308.214  0.2010035
308.261  0.2012756
308.309  0.2028405
308.356  0.2047400
308.404  0.2065561
308.452  0.2089777
308.499  0.2108167
308.547  0.2115888
308.594  0.2108057
308.642  0.2096585
308.690  0.2096065
308.737  0.2100146
308.785  0.2108655
308.833  0.2111482
308.880  0.2119911
308.928  0.2131906
308.976  0.2145317
309.023  0.2151126
309.071  0.2161085
309.119  0.2167681
309.167  0.2184287
309.215  0.2210499
309.262  0.2227499
309.310  0.2237626
309.358  0.2253918
309.406  0.2283233
309.454  0.2327134
309.502  0.2370330
309.550  0.2389601
309.598  0.2404084
309.645  0.2416054
309.693  0.2441858
309.741  0.2465745
309.789  0.2466370
309.837  0.2462432
309.885  0.2466817
309.933  0.2481932
309.981  0.2488879
310.029  0.2486546
310.078  0.2485136
310.126  0.2485821
310.174  0.2491080
310.222  0.2482932
310.270  0.2478125
310.318  0.2477847
310.366  0.2480232
310.414  0.2495727
310.463  0.2514905
310.511  0.2536062
310.559  0.2556250
310.607  0.2562015
310.655  0.2573702
310.704  0.2579628
310.752  0.2589835
310.800  0.2591550
310.849  0.2598490
310.897  0.2612780
310.945  0.2626885
310.994  0.2632780
311.042  0.2636114
311.090  0.2646010
311.139  0.2647447
311.187  0.2660400
311.236  0.2646644
311.284  0.2647214
311.332  0.2646990
311.381  0.2646128
311.429  0.2640501
311.478  0.2643196
311.526  0.2658091
311.575  0.2673414
311.624  0.2690624
311.672  0.2713240
311.721  0.2741706
311.769  0.2764913
311.818  0.2784155
311.867  0.2804084
311.915  0.2824400
311.964  0.2847220
312.012  0.2862719
312.061  0.2872194
312.110  0.2888497
312.159  0.2900886
312.207  0.2907383
312.256  0.2914493
312.305  0.2924521
312.354  0.2936494
312.402  0.2950132
312.451  0.2969772
312.500  0.2988170
312.549  0.3008881
312.598  0.3018050
312.647  0.3021301
312.695  0.3031058
312.744  0.3041960
312.793  0.3051123
312.842  0.3056443
312.891  0.3071191
312.940  0.3057693
312.989  0.3070986
313.038  0.3084452
313.087  0.3089784
313.136  0.3090746
313.185  0.3092588
313.234  0.3095211
313.283  0.3087701
313.332  0.3082829
313.381  0.3060891
313.430  0.3040484
313.480  0.3028225
313.529  0.3017050
313.578  0.3020989
313.627  0.3028221
313.676  0.3043409
313.725  0.3070510
313.775  0.3080275
313.824  0.3093667
313.873  0.3110468
313.922  0.3135432
313.972  0.3159492
314.021  0.3172047
314.070  0.3192274
314.120  0.3212141
314.169  0.3226817
314.218  0.3253796
314.268  0.3273010
314.317  0.3289006
314.367  0.3312562
314.416  0.3338653
314.465  0.3363413
314.515  0.3389021
314.564  0.3407240
314.614  0.3414706
314.663  0.3428340
314.713  0.3433098
314.762  0.3427809
314.812  0.3429449
314.861  0.3424201
314.911  0.3421158
314.961  0.3433536
315.010  0.3445182
315.060  0.3451678
315.109  0.3460980
315.159  0.3462625
315.209  0.3459297
315.259  0.3458209
315.308  0.3456632
315.358  0.3450143
315.408  0.3430929
315.457  0.3395668
315.507  0.3361240
315.557  0.3345482
315.607  0.3342851
315.657  0.3347612
315.706  0.3368825
315.756  0.3396445
315.806  0.3422686
315.856  0.3441572
315.906  0.3466472
315.956  0.3491894
316.006  0.3526985
316.056  0.3548383
316.106  0.3562480
316.156  0.3576851
316.206  0.3595509
316.256  0.3605565
316.306  0.3616897
316.356  0.3625250
316.406  0.3636769
316.456  0.3651793
316.506  0.3667756
316.556  0.3687166
316.606  0.3696734
316.656  0.3714928
316.706  0.3735477
316.756  0.3750600
316.807  0.3757599
316.857  0.3757536
316.907  0.3749680
316.957  0.3735054
317.007  0.3714222
317.058  0.3699355
317.108  0.3695283
317.158  0.3700209
317.209  0.3702252
317.259  0.3714973
317.309  0.3726864
317.360  0.3738626
317.410  0.3744649
317.460  0.3743268
317.511  0.3724783
317.561  0.3699236
317.612  0.3674542
317.662  0.3655610
317.712  0.3654910
