# Version 2.1 - nm, norm@500 to 1, cut digits
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
300.00 0.01123161
300.10 0.01492984
300.20 0.01718171
300.30 0.01811244
300.40 0.0183557
300.50 0.01842664
300.60 0.01849764
300.70 0.01856941
300.80 0.01864487
300.90 0.01872966
301.00 0.01882997
301.10 0.01894856
301.20 0.01908266
301.30 0.01922608
301.40 0.01937317
301.50 0.01952099
301.60 0.01966882
301.70 0.01981664
301.80 0.01996446
301.90 0.02011228
302.00 0.0202601
302.10 0.02040793
302.20 0.02055575
302.30 0.02070357
302.40 0.02085139
302.50 0.02099921
302.60 0.02114703
302.70 0.02129541
302.80 0.02144658
302.90 0.02160481
303.00 0.02177483
303.10 0.02195872
303.20 0.0221544
303.30 0.02235715
303.40 0.02256268
303.50 0.02276878
303.60 0.02297487
303.70 0.02318096
303.80 0.02338705
303.90 0.02359314
304.00 0.02379923
304.10 0.02400532
304.20 0.02421141
304.30 0.0244175
304.40 0.02462359
304.50 0.02482968
304.60 0.02503578
304.70 0.02524017
304.80 0.02543604
304.90 0.02561027
305.00 0.02574847
305.10 0.02584424
305.20 0.02590396
305.30 0.02594206
305.40 0.02597163
305.50 0.0259995
305.60 0.02602738
305.70 0.02605525
305.80 0.02608312
305.90 0.026111
306.00 0.02613887
306.10 0.02616674
306.20 0.02619462
306.30 0.02622249
306.40 0.02625036
306.50 0.02627824
306.60 0.02630611
306.70 0.02633399
306.80 0.02636188
306.90 0.02638982
307.00 0.02641785
307.10 0.02644596
307.20 0.02647415
307.30 0.02650239
307.40 0.02653064
307.50 0.0265589
307.60 0.02658716
307.70 0.02661543
307.80 0.02664369
307.90 0.02667195
308.00 0.02670021
308.10 0.02672847
308.20 0.02675673
308.30 0.02678499
308.40 0.02681325
308.50 0.0268415
308.60 0.02686976
308.70 0.02690228
308.80 0.02695612
308.90 0.02706409
309.00 0.02726227
309.10 0.02756665
309.20 0.02796122
309.30 0.02840994
309.40 0.02887997
309.50 0.02935427
309.60 0.02982857
309.70 0.03030286
309.80 0.03077716
309.90 0.03125145
310.00 0.03172574
310.10 0.03220004
310.20 0.03267433
310.30 0.03314862
310.40 0.03362292
310.50 0.03409721
310.60 0.03457151
310.70 0.03504152
310.80 0.0354901
310.90 0.03588426
311.00 0.03618775
311.10 0.03638446
311.20 0.03649051
311.30 0.03654214
311.40 0.03657233
311.50 0.03659823
311.60 0.03662414
311.70 0.03665005
311.80 0.03667596
311.90 0.03670187
312.00 0.03672778
312.10 0.03675369
312.20 0.0367796
312.30 0.03680551
312.40 0.03683142
312.50 0.03685733
312.60 0.03688323
312.70 0.03691443
312.80 0.0369721
312.90 0.03709698
313.00 0.03733385
313.10 0.03770258
313.20 0.03818329
313.30 0.03873122
313.40 0.03930562
313.50 0.03988532
313.60 0.04046501
313.70 0.0410447
313.80 0.04162439
313.90 0.04220408
314.00 0.04278376
314.10 0.04336345
314.20 0.04394314
314.30 0.04452283
314.40 0.04510251
314.50 0.0456822
314.60 0.04626188
314.70 0.04684525
314.80 0.04744704
314.90 0.04809563
315.00 0.04882216
315.10 0.04964048
315.20 0.05053676
315.30 0.05147982
315.40 0.05244131
315.50 0.05340648
315.60 0.05437166
315.70 0.05533683
315.80 0.056302
315.90 0.05726717
316.00 0.05823234
316.10 0.05919751
316.20 0.06016268
316.30 0.06112785
316.40 0.06209302
316.50 0.0630582
316.60 0.06402339
316.70 0.06497503
316.80 0.06585894
316.90 0.06657086
317.00 0.06699625
317.10 0.06708424
317.20 0.06688569
317.30 0.06651516
317.40 0.0660769
317.50 0.06562508
317.60 0.06517327
317.70 0.06472148
317.80 0.06426968
317.90 0.06381788
318.00 0.06336609
318.10 0.06291429
318.20 0.0624625
318.30 0.0620107
318.40 0.06155891
318.50 0.0611071
318.60 0.06065529
318.70 0.06021386
318.80 0.05982426
318.90 0.05956633
319.00 0.05952773
319.10 0.05974741
319.20 0.06018643
319.30 0.0607571
319.40 0.06137962
319.50 0.06201251
319.60 0.0626454
319.70 0.06327828
319.80 0.06391115
319.90 0.06454403
320.00 0.06517691
320.10 0.06580978
320.20 0.06644266
320.30 0.06707554
320.40 0.06770842
