# Version 2.1 - nm, norm@500 to 1, cut digits
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
300.00 0.004928453
300.10 0.006551141
300.20 0.007539254
300.30 0.007947716
300.40 0.008054529
300.50 0.008085718
300.60 0.008116907
300.70 0.008148418
300.80 0.008181539
300.90 0.008218748
301.00 0.008262766
301.10 0.008314802
301.20 0.008373648
301.30 0.008436581
301.40 0.008501124
301.50 0.00856599
301.60 0.008630855
301.70 0.008695721
301.80 0.008760587
301.90 0.008825452
302.00 0.008890318
302.10 0.008955183
302.20 0.009020049
302.30 0.009084915
302.40 0.00914978
302.50 0.009214646
302.60 0.009279511
302.70 0.009344622
302.80 0.009410954
302.90 0.009480391
303.00 0.009554997
303.10 0.009635691
303.20 0.009721554
303.30 0.009810522
303.40 0.009900711
303.50 0.009991146
303.60 0.01008158
303.70 0.01017201
303.80 0.01026245
303.90 0.01035288
304.00 0.01044332
304.10 0.01053375
304.20 0.01062419
304.30 0.01071462
304.40 0.01080506
304.50 0.01089549
304.60 0.01098592
304.70 0.01107561
304.80 0.01116156
304.90 0.01123801
305.00 0.01129866
305.10 0.01134068
305.20 0.01136689
305.30 0.01138361
305.40 0.01139659
305.50 0.01140882
305.60 0.01142105
305.70 0.01143328
305.80 0.01144551
305.90 0.01145774
306.00 0.01146997
306.10 0.0114822
306.20 0.01149444
306.30 0.01150667
306.40 0.0115189
306.50 0.01153113
306.60 0.01154336
306.70 0.01155559
306.80 0.01156783
306.90 0.01158009
307.00 0.01159239
307.10 0.01160473
307.20 0.0116171
307.30 0.01162949
307.40 0.01164189
307.50 0.01165429
307.60 0.01166669
307.70 0.01167909
307.80 0.01169149
307.90 0.01170389
308.00 0.01171629
308.10 0.01172869
308.20 0.0117411
308.30 0.0117535
308.40 0.0117659
308.50 0.0117783
308.60 0.0117907
308.70 0.01180497
308.80 0.0118286
308.90 0.01187599
309.00 0.01196295
309.10 0.01209652
309.20 0.01226965
309.30 0.01246655
309.40 0.0126728
309.50 0.01288092
309.60 0.01308905
309.70 0.01329717
309.80 0.0135053
309.90 0.01371342
310.00 0.01392154
310.10 0.01412967
310.20 0.01433779
310.30 0.01454592
310.40 0.01475404
310.50 0.01496216
310.60 0.01517029
310.70 0.01537653
310.80 0.01557336
310.90 0.01574632
311.00 0.01587949
311.10 0.01596581
311.20 0.01601235
311.30 0.01603501
311.40 0.01604827
311.50 0.01605963
311.60 0.016071
311.70 0.01608237
311.80 0.01609374
311.90 0.01610511
312.00 0.01611648
312.10 0.01612785
312.20 0.01613922
312.30 0.01615059
312.40 0.01616196
312.50 0.01617333
312.60 0.0161847
312.70 0.0161984
312.80 0.01622371
312.90 0.01627852
313.00 0.01638246
313.10 0.01654426
313.20 0.0167552
313.30 0.01699563
313.40 0.01724767
313.50 0.01750204
313.60 0.01775642
313.70 0.01801079
313.80 0.01826516
313.90 0.01851953
314.00 0.0187739
314.10 0.01902828
314.20 0.01928265
314.30 0.01953702
314.40 0.01979139
314.50 0.02004577
314.60 0.02030014
314.70 0.02055613
314.80 0.02082021
314.90 0.02110482
315.00 0.02142363
315.10 0.02178271
315.20 0.022176
315.30 0.02258982
315.40 0.02301173
315.50 0.02343525
315.60 0.02385878
315.70 0.0242823
315.80 0.02470583
315.90 0.02512935
316.00 0.02555288
316.10 0.0259764
316.20 0.02639993
316.30 0.02682345
316.40 0.02724698
316.50 0.02767051
316.60 0.02809403
316.70 0.0285116
316.80 0.02889945
316.90 0.02921183
317.00 0.02939849
317.10 0.02943711
317.20 0.02935
317.30 0.02918742
317.40 0.02899513
317.50 0.02879687
317.60 0.02859862
317.70 0.02840037
317.80 0.02820212
317.90 0.02800387
318.00 0.02780562
318.10 0.02760736
318.20 0.02740911
318.30 0.02721086
318.40 0.02701261
318.50 0.02681436
318.60 0.02661611
318.70 0.02642241
318.80 0.02625147
318.90 0.0261383
319.00 0.02612137
319.10 0.02621776
319.20 0.02641039
319.30 0.02666079
319.40 0.02693395
319.50 0.02721166
319.60 0.02748937
319.70 0.02776708
319.80 0.0280448
319.90 0.02832251
320.00 0.02860022
320.10 0.02887793
320.20 0.02915564
320.30 0.02943336
320.40 0.02971107
320.50 0.02998878
320.60 0.03026649
320.70 0.03054252
320.80 0.03081013
320.90 0.03105637
321.00 0.03126702
321.10 0.03143576
321.20 0.03156891
321.30 0.03168068
321.40 0.03178405
321.50 0.03188572
321.60 0.0319874
321.70 0.03208908
321.80 0.03219075
321.90 0.03229243
322.00 0.0323941
322.10 0.03249578
322.20 0.03259746
322.30 0.03269913
322.40 0.03280081
322.50 0.03290249
322.60 0.03300416
322.70 0.033112
322.80 0.03325057
322.90 0.03346718
323.00 0.03381381
323.10 0.03431353
323.20 0.03494327
323.30 0.03565105
323.40 0.03638956
323.50 0.03713424
323.60 0.03787891
323.70 0.03862358
323.80 0.03936825
323.90 0.04011293
324.00 0.0408576
324.10 0.04160227
324.20 0.04234695
324.30 0.04309162
324.40 0.04383629
324.50 0.04458097
324.60 0.04532564
324.70 0.04606931
324.80 0.04680799
324.90 0.04753399
325.00 0.04823888
325.10 0.04891889
325.20 0.04957779
325.30 0.050224
325.40 0.05086523
325.50 0.05150545
325.60 0.05214568
325.70 0.0527859
325.80 0.05342613
325.90 0.05406635
326.00 0.05470657
326.10 0.0553468
326.20 0.05598702
326.30 0.05662725
326.40 0.05726747
326.50 0.0579077
326.60 0.05854792
326.70 0.0591903
326.80 0.05984344
326.90 0.06052391
327.00 0.06124989
327.10 0.06202947
327.20 0.06285458
327.30 0.06370701
327.40 0.0645702
327.50 0.06543554
327.60 0.06630088
327.70 0.06716623
327.80 0.06803157
327.90 0.06889692
328.00 0.06976226
328.10 0.07062761
328.20 0.07149295
328.30 0.0723583
328.40 0.07322364
328.50 0.07408899
328.60 0.07495433
328.70 0.07580703
328.80 0.07659659
328.90 0.07722582
329.00 0.07758798
329.10 0.07763565
329.20 0.07741624
329.30 0.0770365
329.40 0.07659363
329.50 0.07613811
329.60 0.07568259
329.70 0.07522707
329.80 0.07477155
329.90 0.07431603
330.00 0.07386051
330.10 0.07340499
330.20 0.07294947
330.30 0.07249395
330.40 0.07203843
330.50 0.07158291
330.60 0.07112739
330.70 0.07068125
330.80 0.07028195
330.90 0.07000158
331.00 0.06991932
331.10 0.07007036
331.20 0.07041952
331.30 0.07088761
331.40 0.07140254
331.50 0.07192684
331.60 0.07245115
331.70 0.07297546
331.80 0.07349976
331.90 0.07402407
332.00 0.07454838
332.10 0.07507269
332.20 0.07559699
332.30 0.0761213
332.40 0.07664561
332.50 0.07716992
332.60 0.07769422
332.70 0.07821259
332.80 0.0787013
332.90 0.07911472
333.00 0.07940269
333.10 0.07954296
333.20 0.07955779
333.30 0.07949732
333.40 0.07940719
333.50 0.07931113
333.60 0.07921507
333.70 0.079119
333.80 0.07902294
333.90 0.07892687
334.00 0.07883081
334.10 0.07873474
334.20 0.07863868
334.30 0.07854261
334.40 0.07844655
334.50 0.07835049
334.60 0.07833439
334.70 0.07857916
334.80 0.0791545
334.90 0.07973895
335.00 0.07972054
335.10 0.07893235
335.20 0.07833768
335.30 0.07973719
335.40 0.08438244
335.50 0.09156253
335.60 0.0985284
335.70 0.1020915
335.80 0.1006808
335.90 0.0951202
336.00 0.0877503
336.10 0.08098055
336.20 0.07649154
336.30 0.07498758
336.40 0.07589818
336.50 0.07744836
336.60 0.07772244
336.70 0.07625335
336.80 0.07461729
336.90 0.07519733
337.00 0.07914197
337.10 0.08524514
337.20 0.09063639
337.30 0.09275347
337.40 0.0911411
337.50 0.08773503
337.60 0.08538177
337.70 0.08572709
337.80 0.08824961
337.90 0.09121638
338.00 0.09330246
338.10 0.09414333
338.20 0.09354682
338.30 0.09088333
338.40 0.08593856
338.50 0.08017381
338.60 0.07649947
338.70 0.07718368
338.80 0.08173572
338.90 0.08706267
339.00 0.0899546
339.10 0.08971325
339.20 0.08858213
339.30 0.08954018
339.40 0.09355863
339.50 0.09897161
339.60 0.1032777
339.70 0.1052414
339.80 0.1052094
339.90 0.1038711
340.00 0.1015013
340.10 0.09838347
340.20 0.0951733
340.30 0.09236866
340.40 0.08963429
340.50 0.08615315
340.60 0.08172846
340.70 0.07723887
340.80 0.07394249
340.90 0.07255488
341.00 0.07302817
341.10 0.07492546
341.20 0.07774329
341.30 0.08089018
341.40 0.08366918
341.50 0.08554749
341.60 0.08647256
341.70 0.08689532
341.80 0.0874273
341.90 0.08838902
342.00 0.08952558
342.10 0.09005671
342.20 0.08915152
342.30 0.08662715
342.40 0.08332496
342.50 0.08068453
342.60 0.07977631
342.70 0.08063423
342.80 0.0823951
342.90 0.08398017
343.00 0.08475867
343.10 0.08483119
343.20 0.08479472
343.30 0.08516233
343.40 0.08591588
343.50 0.08661198
343.60 0.08685116
343.70 0.08652377
343.80 0.08571486
343.90 0.0846246
344.00 0.08361895
344.10 0.08312112
344.20 0.08324159
344.30 0.08359164
344.40 0.08362453
344.50 0.0831588
344.60 0.08252561
344.70 0.08227839
344.80 0.08284017
344.90 0.08436035
345.00 0.08675977
345.10 0.08979049
345.20 0.09304866
345.30 0.09597523
345.40 0.09794549
345.50 0.09856997
345.60 0.09801971
345.70 0.09699775
345.80 0.09625842
345.90 0.0960799
346.00 0.09613978
346.10 0.09579714
346.20 0.09453995
346.30 0.09238799
346.40 0.09002239
346.50 0.0883893
346.60 0.08794774
346.70 0.0882707
346.80 0.08844206
346.90 0.08780248
347.00 0.08628921
347.10 0.08430985
347.20 0.08254068
347.30 0.08173581
347.40 0.08237473
347.50 0.08428439
347.60 0.08671992
347.70 0.08893703
347.80 0.09069001
347.90 0.09222407
348.00 0.09388854
348.10 0.09574592
348.20 0.09744629
348.30 0.09845843
348.40 0.09850043
348.50 0.09778664
348.60 0.09680668
348.70 0.09587888
348.80 0.09500076
348.90 0.09406968
349.00 0.09309083
349.10 0.09215118
349.20 0.09132866
349.30 0.09073519
349.40 0.09057158
349.50 0.09096589
349.60 0.09172278
349.70 0.09235293
349.80 0.09250617
349.90 0.09246368
350.00 0.09310446
350.10 0.0952128
350.20 0.09872652
350.30 0.102658
350.40 0.1057683
350.50 0.1073498
350.60 0.10746
350.70 0.1065897
350.80 0.1052458
350.90 0.1037118
351.00 0.1019376
351.10 0.09956282
351.20 0.09619866
351.30 0.0919279
351.40 0.08757838
351.50 0.08432504
351.60 0.08285744
351.70 0.08289354
351.80 0.0835074
351.90 0.08390086
352.00 0.08384952
352.10 0.0835152
352.20 0.08308613
